measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Low SDI,Both,All ages,Diabetes mellitus type 2,Rate,1991,13.573789412830504,15.220663487905544,12.285792382849458
Deaths,Low SDI,Male,Age-standardized,Diabetes mellitus type 2,Rate,1991,38.13344684205341,43.613945289012804,33.07936685117647
Deaths,Low SDI,Female,Age-standardized,Diabetes mellitus type 2,Rate,1991,31.105390097448375,35.545670491633786,27.431454687348477
Deaths,Low SDI,Both,Age-standardized,Diabetes mellitus type 2,Rate,1991,34.58412077045666,38.70848691485506,31.24955833783718
Deaths,Global,Male,All ages,Diabetes mellitus type 2,Number,1990,286480.60881029326,305384.14870625455,268779.0664325447
Deaths,Global,Female,All ages,Diabetes mellitus type 2,Number,1990,345841.3468978028,365340.13172458735,321622.2854030098
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Number,1990,632321.9557080952,662081.612966086,596870.0126247482
Deaths,Global,Male,All ages,Diabetes mellitus type 2,Rate,1990,10.666717094810878,11.370564775804231,10.00762416189169
Deaths,Global,Female,All ages,Diabetes mellitus type 2,Rate,1990,13.06106366828088,13.797455867655469,12.146405236005645
Deaths,Global,Both,All ages,Diabetes mellitus type 2,Rate,1990,11.85539182740863,12.413355052088635,11.19070404849794
Deaths,Global,Male,Age-standardized,Diabetes mellitus type 2,Rate,1990,17.892607388483974,19.09924784354474,16.691573653810085
Deaths,Global,Female,Age-standardized,Diabetes mellitus type 2,Rate,1990,16.93669900879959,17.898218405422632,15.659238748826278
Deaths,Global,Both,Age-standardized,Diabetes mellitus type 2,Rate,1990,17.33061651661636,18.178150204632757,16.195822400824348
