measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Sub-Saharan Africa,Male,All ages,Diabetes mellitus type 2,Rate,1992,16.88924198129208,19.182628494915047,14.980550238902445
Deaths,Sub-Saharan Africa,Female,All ages,Diabetes mellitus type 2,Rate,1992,13.926669069819566,15.537948648235682,12.445819692347117
Deaths,Sub-Saharan Africa,Both,All ages,Diabetes mellitus type 2,Rate,1992,15.394149940131216,16.986980792479784,14.12115385110001
Deaths,Sub-Saharan Africa,Male,Age-standardized,Diabetes mellitus type 2,Rate,1992,46.30020141979892,52.66543649826488,41.09244949402505
Deaths,Sub-Saharan Africa,Female,Age-standardized,Diabetes mellitus type 2,Rate,1992,36.624659656610355,40.75023655029537,32.615353906175265
Deaths,Sub-Saharan Africa,Both,Age-standardized,Diabetes mellitus type 2,Rate,1992,41.177168440145195,45.25466430729672,37.741544415541206
Deaths,High SDI,Male,All ages,Ischemic heart disease,Number,1990,894445.3280202568,912581.5771377761,857227.4326238572
Deaths,High SDI,Female,All ages,Ischemic heart disease,Number,1990,837946.8198440238,885805.8156398027,735973.5227320396
Deaths,High SDI,Both,All ages,Ischemic heart disease,Number,1990,1732392.1478642796,1797849.3308808052,1591274.9473196738
Deaths,High SDI,Male,All ages,Ischemic heart disease,Rate,1990,206.37955805844467,210.56421972580026,197.79209881062772
Deaths,High SDI,Female,All ages,Ischemic heart disease,Rate,1990,187.8234103904967,198.55086897778597,164.96638417026293
Deaths,High SDI,Both,All ages,Ischemic heart disease,Rate,1990,196.9671209915134,204.4093810495921,180.92257314019702
Deaths,High SDI,Male,Age-standardized,Ischemic heart disease,Rate,1990,212.44467125677318,217.78144615382115,201.2103159379874
Deaths,High SDI,Female,Age-standardized,Ischemic heart disease,Rate,1990,118.67861111598138,125.36045753643623,104.5523157342098
Deaths,High SDI,Both,Age-standardized,Ischemic heart disease,Rate,1990,157.5899351747094,163.9245412730698,144.18739512727413
Deaths,High-income,Male,All ages,Ischemic heart disease,Number,1991,896489.3395621417,915686.8718536546,855349.564422091
Deaths,High-income,Female,All ages,Ischemic heart disease,Number,1991,836763.2904524164,889729.8656986768,726016.7833587943
Deaths,High-income,Both,All ages,Ischemic heart disease,Number,1991,1733252.6300145574,1804635.111482917,1578272.784534389
Deaths,High-income,Male,All ages,Ischemic heart disease,Rate,1991,200.07011721416214,204.35444315791665,190.8889264612922
Deaths,High-income,Female,All ages,Ischemic heart disease,Rate,1991,179.07478902597146,190.41010738407493,155.37405117162436
Deaths,High-income,Both,All ages,Ischemic heart disease,Rate,1991,189.35245860702122,197.15077267471167,172.42139254773605
Deaths,High-income,Male,Age-standardized,Ischemic heart disease,Rate,1991,190.90996246669872,195.98387131725048,180.147490594754
